"","x"
"1",0.9
"2",0.9
"3",0.9
"4",1
"5",1
"6",1
"7",8.7041577226032
"8",4.62423565102368
"9",7.40242876444288
"10",0.381175705014865
"11",3.74348266235526
"12",2.99633101084267
"13",3.0570000000007
"14",8.56900000000314
"15",42.2739999999903
"16",0.0029999999969732
"17",0.0700000000069849
"18",0.0509999999922002
